Target Distance: 50, Step Size: 2
643: (x,y) = (-14.9935, 3.21903)
644: (x,y) = (-16.7755, 2.31105)
645: (x,y) = (-16.3939, 0.347795)
646: (x,y) = (-16.2196, 2.34018)
647: (x,y) = (-18.2047, 2.09645)
648: (x,y) = (-17.2047, 0.364395)
649: (x,y) = (-15.4388, 1.30334)
650: (x,y) = (-13.7614, 0.21406)
651: (x,y) = (-15.2001, -1.17526)
652: (x,y) = (-16.6628, 0.18874)
653: (x,y) = (-16.2129, -1.76)
654: (x,y) = (-17.4165, -0.162729)
655: (x,y) = (-17.0692, -2.13234)
656: (x,y) = (-18.8963, -2.94582)
657: (x,y) = (-19.1401, -4.93091)
658: (x,y) = (-20.2585, -3.27284)
659: (x,y) = (-21.6478, -4.71151)
660: (x,y) = (-19.649, -4.78131)
661: (x,y) = (-18.4734, -3.16328)
662: (x,y) = (-17.8554, -5.06539)
663: (x,y) = (-19.6374, -5.97337)
664: (x,y) = (-18.0194, -4.7978)
665: (x,y) = (-17.2379, -2.95679)
666: (x,y) = (-15.4559, -3.86477)
667: (x,y) = (-16.7941, -2.37848)
668: (x,y) = (-14.9031, -1.72735)
669: (x,y) = (-12.9141, -1.93641)
670: (x,y) = (-14.8267, -1.35166)
671: (x,y) = (-16.8255, -1.42146)
672: (x,y) = (-18.1637, 0.0648285)
673: (x,y) = (-19.802, 1.21198)
674: (x,y) = (-21.7146, 0.627238)
675: (x,y) = (-19.8352, -0.0568024)
676: (x,y) = (-18.8963, -1.8227)
677: (x,y) = (-20.6939, -0.945955)
678: (x,y) = (-19.1396, 0.312686)
679: (x,y) = (-20.1697, -1.40165)
680: (x,y) = (-22.1685, -1.47145)
681: (x,y) = (-20.1834, -1.22771)
682: (x,y) = (-20.6333, 0.721031)
683: (x,y) = (-19.1238, -0.591087)
684: (x,y) = (-21.026, 0.0269467)
685: (x,y) = (-21.4418, 1.98324)
686: (x,y) = (-22.191, 3.83761)
687: (x,y) = (-20.202, 4.04667)
688: (x,y) = (-21.2912, 2.36933)
689: (x,y) = (-22.4096, 0.71125)
690: (x,y) = (-23.6409, -0.864771)
691: (x,y) = (-24.7881, -2.50308)
692: (x,y) = (-26.6902, -1.88504)
693: (x,y) = (-25.0129, -0.795763)
694: (x,y) = (-24.7691, 1.18933)
695: (x,y) = (-24.118, 3.08037)
696: (x,y) = (-24.4653, 5.04998)
697: (x,y) = (-23.8473, 3.14787)
698: (x,y) = (-23.3296, 5.07972)
699: (x,y) = (-24.2992, 6.82896)
700: (x,y) = (-26.0968, 7.7057)
701: (x,y) = (-27.1567, 6.00961)
702: (x,y) = (-29.1457, 6.21866)
703: (x,y) = (-28.561, 4.30605)
704: (x,y) = (-29.0786, 2.3742)
705: (x,y) = (-27.1153, 2.75582)
706: (x,y) = (-28.6248, 4.06794)
707: (x,y) = (-30.5654, 3.58409)
708: (x,y) = (-28.9681, 4.78772)
709: (x,y) = (-30.9669, 4.85752)
710: (x,y) = (-30.3821, 6.77013)
711: (x,y) = (-31.9364, 5.51149)
712: (x,y) = (-33.9288, 5.33718)
713: (x,y) = (-32.5905, 6.82347)
714: (x,y) = (-31.305, 8.35556)
715: (x,y) = (-29.3562, 7.90566)
716: (x,y) = (-27.5152, 8.68712)
717: (x,y) = (-29.4173, 9.30515)
718: (x,y) = (-30.8066, 7.86647)
719: (x,y) = (-32.1449, 9.35276)
720: (x,y) = (-32.11, 7.35307)
721: (x,y) = (-30.378, 6.35307)
722: (x,y) = (-28.3974, 6.63141)
723: (x,y) = (-27.2503, 4.99311)
724: (x,y) = (-25.253, 5.09778)
725: (x,y) = (-23.6557, 3.89415)
726: (x,y) = (-21.7332, 4.44543)
727: (x,y) = (-19.9061, 3.63195)
728: (x,y) = (-20.9954, 5.30929)
729: (x,y) = (-21.0303, 7.30899)
730: (x,y) = (-19.353, 6.21971)
731: (x,y) = (-19.0746, 4.23918)
732: (x,y) = (-17.3603, 3.2091)
733: (x,y) = (-18.9146, 4.46774)
734: (x,y) = (-20.7272, 3.6225)
735: (x,y) = (-20.9709, 5.6076)
736: (x,y) = (-19.1438, 6.42107)
737: (x,y) = (-20.7619, 5.2455)
738: (x,y) = (-20.0451, 3.37834)
739: (x,y) = (-19.0755, 5.12758)
740: (x,y) = (-17.4174, 6.24596)
741: (x,y) = (-18.5358, 4.58789)
742: (x,y) = (-20.3017, 5.52683)
743: (x,y) = (-21.8338, 4.24126)
744: (x,y) = (-23.6609, 5.05473)
745: (x,y) = (-23.1433, 6.98658)
746: (x,y) = (-22.7616, 8.94983)
747: (x,y) = (-24.7613, 8.98474)
748: (x,y) = (-25.8506, 7.3074)
749: (x,y) = (-24.7035, 5.66909)
750: (x,y) = (-23.3652, 4.1828)
751: (x,y) = (-21.4858, 4.86685)
752: (x,y) = (-21.2768, 2.8778)
753: (x,y) = (-23.2331, 2.46198)
754: (x,y) = (-21.575, 1.34359)
755: (x,y) = (-23.3242, 2.31321)
756: (x,y) = (-21.5422, 3.22119)
757: (x,y) = (-19.6401, 2.60316)
758: (x,y) = (-20.8437, 4.20043)
759: (x,y) = (-22.5758, 5.20043)
760: (x,y) = (-21.4002, 3.5824)
761: (x,y) = (-21.5745, 5.57478)
762: (x,y) = (-20.8253, 7.42915)
763: (x,y) = (-22.5026, 8.51843)
764: (x,y) = (-23.1207, 10.4205)
765: (x,y) = (-24.759, 11.5677)
766: (x,y) = (-25.6357, 9.77011)
767: (x,y) = (-23.6433, 9.94442)
768: (x,y) = (-24.847, 8.34715)
769: (x,y) = (-26.8394, 8.52146)
770: (x,y) = (-25.9004, 6.75557)
771: (x,y) = (-25.9702, 4.75678)
772: (x,y) = (-24.7116, 6.31108)
773: (x,y) = (-24.7465, 8.31077)
774: (x,y) = (-22.7465, 8.31077)
775: (x,y) = (-24.5124, 7.37183)
776: (x,y) = (-26.453, 7.85567)
777: (x,y) = (-26.0713, 9.81893)
778: (x,y) = (-26.453, 7.85567)
779: (x,y) = (-26.2787, 5.86328)
780: (x,y) = (-26.7286, 3.91454)
781: (x,y) = (-28.4429, 2.88447)
782: (x,y) = (-27.5661, 1.08688)
783: (x,y) = (-26.1519, 2.50109)
784: (x,y) = (-25.9776, 0.508702)
785: (x,y) = (-27.3669, 1.94738)
786: (x,y) = (-29.2895, 1.39611)
787: (x,y) = (-31.2785, 1.60516)
788: (x,y) = (-32.1552, 3.40275)
789: (x,y) = (-30.5372, 2.22718)
790: (x,y) = (-28.8989, 1.08003)
791: (x,y) = (-28.0854, -0.747063)
792: (x,y) = (-27.3687, -2.61422)
793: (x,y) = (-27.543, -4.60661)
794: (x,y) = (-27.2647, -2.62608)
795: (x,y) = (-25.7104, -1.36744)
796: (x,y) = (-25.2605, -3.31618)
797: (x,y) = (-23.6024, -4.43456)
798: (x,y) = (-23.3933, -6.42361)
799: (x,y) = (-25.2204, -5.61013)
800: (x,y) = (-26.7965, -4.37881)
801: (x,y) = (-28.4348, -5.52596)
802: (x,y) = (-27.558, -7.32355)
803: (x,y) = (-29.5068, -7.77345)
804: (x,y) = (-28.3312, -9.39149)
805: (x,y) = (-27.4544, -11.1891)
806: (x,y) = (-25.945, -9.87696)
807: (x,y) = (-24.0225, -10.4282)
808: (x,y) = (-24.7717, -12.2826)
809: (x,y) = (-23.7416, -13.9969)
810: (x,y) = (-24.1233, -15.9602)
811: (x,y) = (-22.2106, -15.3754)
812: (x,y) = (-20.3836, -14.562)
813: (x,y) = (-19.6021, -12.721)
814: (x,y) = (-18.6631, -10.9551)
815: (x,y) = (-20.6437, -10.6767)
816: (x,y) = (-22.5108, -11.3935)
817: (x,y) = (-22.9267, -13.3498)
818: (x,y) = (-20.9861, -13.8336)
819: (x,y) = (-22.9557, -14.1809)
820: (x,y) = (-23.0952, -12.1858)
821: (x,y) = (-25.0925, -12.2904)
822: (x,y) = (-26.2108, -10.6324)
823: (x,y) = (-24.3982, -9.78712)
824: (x,y) = (-24.3633, -7.78743)
825: (x,y) = (-26.1609, -8.66417)
826: (x,y) = (-25.2529, -10.4462)
827: (x,y) = (-26.1297, -12.2438)
828: (x,y) = (-24.7155, -10.8296)
829: (x,y) = (-26.3928, -11.9188)
830: (x,y) = (-26.323, -13.9176)
831: (x,y) = (-28.3081, -14.1614)
832: (x,y) = (-27.3081, -15.8934)
833: (x,y) = (-29.0573, -16.863)
834: (x,y) = (-27.178, -16.179)
835: (x,y) = (-27.9914, -18.0061)
836: (x,y) = (-26.0788, -17.4213)
837: (x,y) = (-25.2653, -19.2484)
838: (x,y) = (-25.6812, -17.2921)
839: (x,y) = (-27.1439, -15.9281)
840: (x,y) = (-27.7286, -14.0155)
841: (x,y) = (-25.7298, -13.9457)
842: (x,y) = (-27.5274, -13.069)
843: (x,y) = (-25.5302, -12.9643)
844: (x,y) = (-24.5001, -14.6786)
845: (x,y) = (-26.1181, -15.8542)
846: (x,y) = (-28.1105, -15.6799)
847: (x,y) = (-26.1787, -15.1623)
848: (x,y) = (-24.2299, -15.6122)
849: (x,y) = (-22.5718, -14.4938)
850: (x,y) = (-22.1219, -12.545)
851: (x,y) = (-20.7579, -14.0077)
852: (x,y) = (-22.3552, -15.2114)
853: (x,y) = (-21.7705, -13.2988)
854: (x,y) = (-23.4848, -14.3288)
855: (x,y) = (-25.4836, -14.259)
856: (x,y) = (-27.2495, -13.3201)
857: (x,y) = (-28.9456, -12.2603)
858: (x,y) = (-28.0066, -10.4944)
859: (x,y) = (-29.9192, -11.0791)
860: (x,y) = (-31.1229, -12.6764)
861: (x,y) = (-32.9049, -13.5844)
862: (x,y) = (-31.0778, -12.7709)
863: (x,y) = (-33.0668, -12.5618)
864: (x,y) = (-32.4488, -14.4639)
865: (x,y) = (-32.2398, -16.453)
866: (x,y) = (-31.4905, -18.3074)
867: (x,y) = (-33.4878, -18.2027)
868: (x,y) = (-35.2199, -19.2027)
869: (x,y) = (-33.5815, -18.0555)
870: (x,y) = (-32.1673, -19.4697)
871: (x,y) = (-34.1427, -19.7826)
872: (x,y) = (-34.1776, -21.7823)
873: (x,y) = (-34.8288, -19.8913)
874: (x,y) = (-36.7775, -20.3412)
875: (x,y) = (-36.4991, -18.3606)
876: (x,y) = (-38.4013, -18.9787)
877: (x,y) = (-36.4207, -18.7003)
878: (x,y) = (-34.7064, -19.7304)
879: (x,y) = (-33.6171, -18.0531)
880: (x,y) = (-32.1308, -16.7148)
881: (x,y) = (-30.7415, -15.2761)
882: (x,y) = (-28.7719, -14.9288)
883: (x,y) = (-30.1101, -13.4425)
884: (x,y) = (-31.1101, -11.7105)
885: (x,y) = (-32.6196, -13.0226)
886: (x,y) = (-31.334, -14.5547)
887: (x,y) = (-32.952, -13.3791)
888: (x,y) = (-33.9216, -15.1284)
889: (x,y) = (-34.7669, -16.941)
890: (x,y) = (-32.8758, -17.5921)
891: (x,y) = (-30.9271, -18.042)
892: (x,y) = (-30.9969, -16.0432)
893: (x,y) = (-32.0862, -17.7206)
894: (x,y) = (-30.4088, -16.6313)
895: (x,y) = (-28.5295, -15.9473)
896: (x,y) = (-30.3115, -15.0393)
897: (x,y) = (-32.2241, -15.624)
898: (x,y) = (-34.1367, -16.2088)
899: (x,y) = (-35.2551, -17.8668)
900: (x,y) = (-35.7389, -15.9262)
901: (x,y) = (-33.9118, -15.1128)
902: (x,y) = (-33.0666, -13.3002)
903: (x,y) = (-31.1178, -12.8503)
904: (x,y) = (-32.5072, -11.4116)
905: (x,y) = (-32.923, -13.3679)
906: (x,y) = (-31.2269, -14.4277)
907: (x,y) = (-33.054, -15.2412)
908: (x,y) = (-34.5634, -13.9291)
909: (x,y) = (-33.6554, -15.7111)
910: (x,y) = (-33.9683, -17.6865)
911: (x,y) = (-32.7647, -16.0892)
912: (x,y) = (-30.8421, -16.6405)
913: (x,y) = (-30.8072, -18.6402)
914: (x,y) = (-32.7996, -18.8145)
915: (x,y) = (-30.9725, -19.6279)
916: (x,y) = (-28.9801, -19.4536)
917: (x,y) = (-30.4188, -18.0643)
918: (x,y) = (-31.4188, -16.3323)
919: (x,y) = (-32.2323, -18.1594)
920: (x,y) = (-32.817, -20.072)
921: (x,y) = (-31.035, -20.9799)
922: (x,y) = (-31.5527, -19.0481)
923: (x,y) = (-29.6208, -19.5657)
924: (x,y) = (-31.3529, -20.5657)
925: (x,y) = (-32.8392, -19.2275)
926: (x,y) = (-33.9284, -20.9048)
927: (x,y) = (-31.9312, -20.8001)
928: (x,y) = (-30.1041, -21.6136)
929: (x,y) = (-28.9285, -23.2316)
930: (x,y) = (-29.6452, -21.3645)
931: (x,y) = (-29.2979, -19.3949)
932: (x,y) = (-27.5487, -20.3645)
933: (x,y) = (-29.546, -20.2598)
934: (x,y) = (-27.8879, -21.3782)
935: (x,y) = (-26.0469, -22.1597)
936: (x,y) = (-24.8433, -23.7569)
937: (x,y) = (-26.7838, -23.2731)
938: (x,y) = (-25.5802, -21.6758)
939: (x,y) = (-24.0939, -23.0141)
940: (x,y) = (-24.5438, -21.0653)
941: (x,y) = (-23.1545, -22.504)
942: (x,y) = (-24.0313, -24.3016)
943: (x,y) = (-22.5218, -25.6137)
944: (x,y) = (-22.7656, -23.6286)
945: (x,y) = (-22.0488, -21.7615)
946: (x,y) = (-23.9976, -21.3116)
947: (x,y) = (-24.4134, -19.3553)
948: (x,y) = (-23.9635, -17.4065)
949: (x,y) = (-23.3788, -19.3191)
950: (x,y) = (-24.8882, -20.6313)
951: (x,y) = (-23.1561, -21.6313)
952: (x,y) = (-24.4944, -20.145)
953: (x,y) = (-26.3965, -20.763)
954: (x,y) = (-28.3816, -21.0067)
955: (x,y) = (-26.4795, -21.6248)
956: (x,y) = (-24.6385, -22.4062)
957: (x,y) = (-23.7617, -20.6087)
958: (x,y) = (-21.8211, -21.0925)
959: (x,y) = (-23.8135, -21.2668)
960: (x,y) = (-24.7215, -23.0488)
961: (x,y) = (-23.0072, -24.0789)
962: (x,y) = (-24.4699, -22.7149)
963: (x,y) = (-24.3304, -20.7198)
964: (x,y) = (-25.9884, -19.6014)
965: (x,y) = (-26.4383, -17.6526)
966: (x,y) = (-25.5304, -15.8706)
967: (x,y) = (-23.8723, -16.989)
968: (x,y) = (-25.4266, -15.7304)
969: (x,y) = (-23.4703, -16.1462)
970: (x,y) = (-25.2974, -15.3327)
971: (x,y) = (-26.1426, -17.1453)
972: (x,y) = (-25.0828, -18.8414)
973: (x,y) = (-23.5507, -17.5559)
974: (x,y) = (-23.0668, -15.6153)
975: (x,y) = (-23.0319, -17.615)
976: (x,y) = (-23.716, -15.7356)
977: (x,y) = (-24.5927, -17.5332)
978: (x,y) = (-25.4062, -19.3603)
979: (x,y) = (-24.3761, -17.6459)
980: (x,y) = (-22.9134, -16.2819)
981: (x,y) = (-21.0462, -16.9987)
982: (x,y) = (-19.3142, -15.9987)
983: (x,y) = (-21.3093, -15.8592)
984: (x,y) = (-23.3066, -15.7545)
985: (x,y) = (-23.2717, -13.7548)
986: (x,y) = (-25.126, -13.0056)
987: (x,y) = (-23.3285, -12.1288)
988: (x,y) = (-21.5309, -11.2521)
989: (x,y) = (-19.6083, -10.7008)
990: (x,y) = (-21.3227, -11.7309)
991: (x,y) = (-21.3576, -13.7306)
992: (x,y) = (-19.417, -14.2144)
993: (x,y) = (-17.4537, -14.596)
994: (x,y) = (-15.4613, -14.7704)
995: (x,y) = (-13.4662, -14.6308)
996: (x,y) = (-11.8482, -15.8064)
997: (x,y) = (-11.1641, -17.6858)
998: (x,y) = (-13.0185, -18.435)
999: (x,y) = (-13.5698, -16.5125)
1000: (x,y) = (-13.2914, -18.493)
1001: (x,y) = (-11.2917, -18.5279)
1002: (x,y) = (-12.7545, -19.8919)
1003: (x,y) = (-12.8243, -17.8931)
1004: (x,y) = (-11.27, -16.6345)
1005: (x,y) = (-10.3003, -18.3837)
1006: (x,y) = (-11.4475, -20.0221)
1007: (x,y) = (-9.58033, -19.3053)
1008: (x,y) = (-8.43318, -17.667)
1009: (x,y) = (-9.46326, -15.9527)
1010: (x,y) = (-9.15039, -13.9773)
1011: (x,y) = (-7.40115, -14.9469)
1012: (x,y) = (-7.74845, -12.9773)
1013: (x,y) = (-5.83584, -13.562)
1014: (x,y) = (-3.9448, -12.9109)
1015: (x,y) = (-5.67685, -11.9109)
1016: (x,y) = (-5.05882, -10.0088)
1017: (x,y) = (-3.7467, -8.49938)
1018: (x,y) = (-5.74183, -8.35987)
1019: (x,y) = (-6.02017, -6.37933)
1020: (x,y) = (-5.08123, -8.14523)
1021: (x,y) = (-3.31533, -7.20628)
1022: (x,y) = (-4.34541, -8.92062)
1023: (x,y) = (-6.1725, -8.10714)
1024: (x,y) = (-6.88924, -9.9743)
1025: (x,y) = (-8.06481, -11.5923)
1026: (x,y) = (-9.94419, -10.9083)
1027: (x,y) = (-11.6215, -11.9976)
1028: (x,y) = (-10.0035, -10.822)
1029: (x,y) = (-11.1507, -12.4603)
1030: (x,y) = (-13.1139, -12.8419)
1031: (x,y) = (-15.103, -13.051)
1032: (x,y) = (-16.2785, -14.669)
1033: (x,y) = (-15.103, -13.051)
1034: (x,y) = (-14.8246, -15.0315)
1035: (x,y) = (-14.7199, -17.0288)
1036: (x,y) = (-16.1092, -18.4675)
1037: (x,y) = (-14.3117, -17.5907)
1038: (x,y) = (-16.2604, -17.1408)
1039: (x,y) = (-18.0424, -16.2328)
1040: (x,y) = (-19.7198, -15.1436)
1041: (x,y) = (-20.469, -16.9979)
1042: (x,y) = (-21.5874, -15.3398)
1043: (x,y) = (-22.5874, -13.6078)
1044: (x,y) = (-23.0373, -11.6591)
1045: (x,y) = (-24.6345, -10.4554)
1046: (x,y) = (-24.6345, -12.4554)
1047: (x,y) = (-26.6269, -12.2811)
1048: (x,y) = (-28.5757, -12.731)
1049: (x,y) = (-27.0894, -14.0693)
1050: (x,y) = (-28.7474, -12.9509)
1051: (x,y) = (-30.0596, -11.4415)
1052: (x,y) = (-31.6356, -12.6728)
1053: (x,y) = (-29.823, -11.8276)
1054: (x,y) = (-29.2382, -13.7402)
1055: (x,y) = (-29.823, -11.8276)
1056: (x,y) = (-31.1612, -10.3413)
1057: (x,y) = (-29.6518, -11.6534)
1058: (x,y) = (-31.6005, -12.1033)
1059: (x,y) = (-33.5568, -11.6875)
1060: (x,y) = (-35.4974, -12.1713)
1061: (x,y) = (-33.6703, -11.3578)
1062: (x,y) = (-35.0343, -12.8205)
1063: (x,y) = (-34.0343, -14.5526)
1064: (x,y) = (-32.7222, -16.062)
1065: (x,y) = (-34.3605, -14.9149)
1066: (x,y) = (-34.221, -12.9197)
1067: (x,y) = (-32.9089, -11.4103)
1068: (x,y) = (-31.4462, -10.0463)
1069: (x,y) = (-32.0309, -11.9589)
1070: (x,y) = (-31.4797, -10.0364)
1071: (x,y) = (-33.4429, -10.418)
1072: (x,y) = (-34.9972, -9.15938)
1073: (x,y) = (-36.8882, -9.81052)
1074: (x,y) = (-38.8855, -9.91519)
1075: (x,y) = (-39.7622, -11.7128)
1076: (x,y) = (-41.4203, -12.8312)
1077: (x,y) = (-39.782, -13.9783)
1078: (x,y) = (-39.0653, -15.8455)
1079: (x,y) = (-38.7524, -17.8209)
1080: (x,y) = (-38.3025, -19.7696)
1081: (x,y) = (-37.8526, -17.8209)
1082: (x,y) = (-37.4368, -19.7771)
1083: (x,y) = (-35.4962, -19.2933)
1084: (x,y) = (-33.6836, -20.1385)
1085: (x,y) = (-33.3707, -18.1632)
1086: (x,y) = (-34.4008, -16.4488)
1087: (x,y) = (-34.9855, -14.5362)
1088: (x,y) = (-34.8809, -16.5335)
1089: (x,y) = (-33.4915, -17.9722)
1090: (x,y) = (-35.1689, -16.8829)
1091: (x,y) = (-33.3017, -17.5996)
1092: (x,y) = (-35.0161, -18.6297)
1093: (x,y) = (-33.0755, -18.1459)
1094: (x,y) = (-32.7282, -20.1155)
1095: (x,y) = (-31.0701, -18.9971)
1096: (x,y) = (-29.374, -17.9372)
1097: (x,y) = (-27.3849, -17.7282)
1098: (x,y) = (-27.1412, -15.7431)
1099: (x,y) = (-26.6236, -13.8112)
1100: (x,y) = (-27.0052, -15.7745)
1101: (x,y) = (-28.8462, -14.993)
1102: (x,y) = (-28.9857, -16.9882)
1103: (x,y) = (-28.9159, -18.9869)
1104: (x,y) = (-30.2542, -20.4732)
1105: (x,y) = (-28.6999, -21.7319)
1106: (x,y) = (-26.934, -20.7929)
1107: (x,y) = (-25.5198, -22.2071)
1108: (x,y) = (-24.9685, -24.1297)
1109: (x,y) = (-23.4591, -25.4418)
1110: (x,y) = (-24.0104, -23.5193)
1111: (x,y) = (-23.732, -21.5387)
1112: (x,y) = (-23.7669, -23.5384)
1113: (x,y) = (-22.0177, -22.5688)
1114: (x,y) = (-22.2267, -20.5798)
1115: (x,y) = (-23.1035, -22.3773)
1116: (x,y) = (-21.2014, -22.9954)
1117: (x,y) = (-21.1665, -20.9957)
1118: (x,y) = (-19.1911, -21.3086)
1119: (x,y) = (-19.7087, -23.2404)
1120: (x,y) = (-19.4997, -25.2294)
1121: (x,y) = (-20.9859, -23.8912)
1122: (x,y) = (-21.5707, -21.9786)
1123: (x,y) = (-22.7743, -20.3813)
1124: (x,y) = (-24.5563, -19.4733)
1125: (x,y) = (-22.7743, -18.5653)
1126: (x,y) = (-21.097, -17.4761)
1127: (x,y) = (-23.0894, -17.6504)
1128: (x,y) = (-23.2637, -19.6428)
1129: (x,y) = (-21.3074, -20.0586)
1130: (x,y) = (-21.6547, -22.0282)
1131: (x,y) = (-20.0366, -20.8526)
1132: (x,y) = (-21.675, -19.7055)
1133: (x,y) = (-20.1207, -18.4468)
1134: (x,y) = (-22.1207, -18.4468)
1135: (x,y) = (-22.9341, -20.2739)
1136: (x,y) = (-24.1655, -21.85)
1137: (x,y) = (-25.9314, -22.7889)
1138: (x,y) = (-25.3466, -20.8763)
1139: (x,y) = (-23.6323, -19.8462)
1140: (x,y) = (-22.078, -18.5876)
1141: (x,y) = (-24.0777, -18.5527)
1142: (x,y) = (-22.1458, -19.0703)
1143: (x,y) = (-20.9145, -20.6463)
1144: (x,y) = (-20.5672, -18.6767)
1145: (x,y) = (-19.2032, -20.1394)
1146: (x,y) = (-18.3265, -18.3418)
1147: (x,y) = (-17.4185, -16.5598)
1148: (x,y) = (-15.9322, -15.2216)
1149: (x,y) = (-14.785, -13.5833)
1150: (x,y) = (-16.7547, -13.9305)
1151: (x,y) = (-15.2684, -15.2688)
1152: (x,y) = (-14.4549, -13.4417)
1153: (x,y) = (-13.5469, -15.2237)
1154: (x,y) = (-12.0842, -16.5877)
1155: (x,y) = (-12.1191, -14.588)
1156: (x,y) = (-14.0416, -15.1393)
1157: (x,y) = (-15.5279, -16.4776)
1158: (x,y) = (-17.224, -15.4177)
1159: (x,y) = (-15.442, -16.3257)
1160: (x,y) = (-17.1741, -17.3257)
1161: (x,y) = (-16.8268, -19.2953)
1162: (x,y) = (-14.8514, -18.9825)
1163: (x,y) = (-16.1896, -20.4687)
1164: (x,y) = (-18.1529, -20.8504)
1165: (x,y) = (-20.1283, -21.1632)
1166: (x,y) = (-20.9418, -19.3361)
1167: (x,y) = (-20.065, -17.5386)
1168: (x,y) = (-20.0999, -19.5383)
1169: (x,y) = (-22.085, -19.782)
1170: (x,y) = (-20.4077, -20.8713)
1171: (x,y) = (-19.149, -22.4256)
1172: (x,y) = (-20.2089, -24.1217)
1173: (x,y) = (-18.8706, -25.6079)
1174: (x,y) = (-20.1292, -24.0537)
1175: (x,y) = (-18.6198, -25.3658)
1176: (x,y) = (-18.7941, -27.3582)
1177: (x,y) = (-20.7347, -27.842)
1178: (x,y) = (-21.286, -29.7645)
1179: (x,y) = (-23.2857, -29.7296)
1180: (x,y) = (-24.3158, -28.0153)
1181: (x,y) = (-24.1067, -26.0262)
1182: (x,y) = (-22.1371, -25.6789)
1183: (x,y) = (-24.1222, -25.9227)
1184: (x,y) = (-24.6735, -27.8452)
1185: (x,y) = (-26.5645, -28.4963)
1186: (x,y) = (-28.2966, -27.4963)
1187: (x,y) = (-26.7205, -28.7277)
1188: (x,y) = (-25.7816, -26.9618)
1189: (x,y) = (-24.8426, -28.7277)
1190: (x,y) = (-23.9659, -30.5253)
1191: (x,y) = (-23.8961, -32.524)
1192: (x,y) = (-23.931, -30.5243)
1193: (x,y) = (-25.9283, -30.4197)
1194: (x,y) = (-27.4604, -29.1341)
1195: (x,y) = (-27.0445, -31.0904)
1196: (x,y) = (-28.0746, -32.8047)
1197: (x,y) = (-29.2502, -31.1867)
1198: (x,y) = (-30.8262, -32.418)
1199: (x,y) = (-28.9468, -31.734)
1200: (x,y) = (-30.9392, -31.9083)
1201: (x,y) = (-32.9316, -32.0826)
1202: (x,y) = (-31.2173, -33.1127)
1203: (x,y) = (-30.3405, -34.9103)
1204: (x,y) = (-28.3651, -34.5974)
1205: (x,y) = (-28.678, -32.622)
1206: (x,y) = (-29.1957, -34.5539)
1207: (x,y) = (-29.0561, -36.549)
1208: (x,y) = (-30.988, -36.0314)
1209: (x,y) = (-32.7023, -35.0013)
1210: (x,y) = (-31.0443, -36.1197)
1211: (x,y) = (-30.493, -38.0422)
1212: (x,y) = (-31.0106, -36.1103)
1213: (x,y) = (-29.1835, -36.9238)
1214: (x,y) = (-27.2429, -37.4077)
1215: (x,y) = (-25.2432, -37.4426)
1216: (x,y) = (-27.2356, -37.2683)
1217: (x,y) = (-28.6743, -35.8789)
1218: (x,y) = (-30.6149, -36.3628)
1219: (x,y) = (-31.7042, -38.0401)
1220: (x,y) = (-30.5005, -39.6374)
After 1220 steps, the subject has the following location:
(x,y) = (-30.5005, -39.6374)
 or
(m,a) = (50.0141, -127.578)
Average outward distance per step = 0.0409951

Target Distance: 100, Step Size: 10
0: (x,y) = (0, 0)
1: (x,y) = (-6.42788, 7.66044)
2: (x,y) = (2.84396, 11.4065)
3: (x,y) = (10.7241, 17.5631)
4: (x,y) = (0.725593, 17.7376)
5: (x,y) = (9.01597, 23.3296)
6: (x,y) = (-0.765507, 21.2505)
7: (x,y) = (2.65469, 11.8535)
8: (x,y) = (11.0414, 17.2999)
9: (x,y) = (17.3346, 25.0714)
10: (x,y) = (23.8952, 17.5243)
11: (x,y) = (23.8952, 27.5243)
12: (x,y) = (18.3033, 19.2339)
13: (x,y) = (9.47379, 23.9286)
14: (x,y) = (18.4617, 28.3123)
15: (x,y) = (14.3944, 19.1769)
16: (x,y) = (11.1387, 9.7217)
17: (x,y) = (13.0468, -0.0945715)
18: (x,y) = (21.5273, 5.20462)
19: (x,y) = (24.6174, -4.30594)
20: (x,y) = (29.9166, -12.7864)
21: (x,y) = (39.9105, -13.1354)
22: (x,y) = (31.719, -18.8712)
23: (x,y) = (38.4103, -11.4397)
24: (x,y) = (29.4224, -15.8234)
25: (x,y) = (32.3461, -6.2604)
26: (x,y) = (33.9104, -16.1373)
27: (x,y) = (43.1823, -12.3912)
28: (x,y) = (44.7466, -2.51433)
29: (x,y) = (40.8393, 6.69071)
30: (x,y) = (34.2787, 14.2378)
31: (x,y) = (43.1082, 18.9325)
32: (x,y) = (38.882, 27.9956)
33: (x,y) = (47.9451, 32.2218)
34: (x,y) = (52.6398, 23.3923)
35: (x,y) = (56.866, 14.3292)
36: (x,y) = (60.612, 5.05739)
37: (x,y) = (54.0515, 12.6045)
38: (x,y) = (46.9804, 5.53342)
39: (x,y) = (55.1719, -0.202342)
40: (x,y) = (45.178, -0.551337)
41: (x,y) = (51.8693, 6.88011)
42: (x,y) = (57.6051, 15.0716)
43: (x,y) = (61.0253, 5.67471)
44: (x,y) = (51.6895, 2.09103)
45: (x,y) = (58.6361, -5.10237)
46: (x,y) = (65.3274, 2.32908)
47: (x,y) = (73.4175, -3.54878)
48: (x,y) = (67.6818, -11.7403)
49: (x,y) = (74.5017, -19.0538)
